BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Cluster,PCA1,PCA2
3,180000,1600,9 out of 16,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,3,3.10914798034089,1.9149743950866391
1,26000,434,5 out of 22,Carpet Area,"Samarth Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,0,-1.1510435064899482,0.5947195025240308
3,72000,1121,7 out of 14,Carpet Area,"Hari Kunj II, Sindhi Society Chembur",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,1,1.7283327085977729,0.16182806572337888
1,8000,620,6 out of 8,Super Area,Virar,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,0,-1.1563874331222384,0.16524384288198665
3,130000,937,16 out of 27,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,2,Contact Agent,1,1.4760102869106442,1.4318718052950996
1,52000,470,6 out of 7,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,0,-0.8856946027709848,1.0577338867358688
1,13000,410,2 out of 7,Carpet Area,Mira Road East,Mumbai,Unfurnished,Family,1,Contact Agent,0,-1.9095443729371935,0.46697967872459784
3,45000,850,5 out of 7,Carpet Area,Mulund West,Mumbai,Unfurnished,Family,3,Contact Agent,1,1.2552300214254146,-0.19834831046761703
3,180000,1500,15 out of 20,Carpet Area,"Purushottam Towers, Dadar West",Mumbai,Furnished,Bachelors/Family,4,Contact Agent,3,3.645339484918224,1.865948724974407
2,63000,888,12 out of 20,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,0.19819670504974823,0.6308687929101225
1,7500,380,3 out of 7,Carpet Area,sunanda circal,Mumbai,Unfurnished,Bachelors,2,Contact Owner,0,-1.363851838776082,0.27992565848482354
1,30000,360,4 out of 20,Carpet Area,"Antop Hill, Wadala",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,0,-1.798232044721797,0.8076974027075967
1,28500,565,1 out of 8,Super Area,Kandivali East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,0,-1.0176810895523187,0.5733752864877436
3,100000,2000,25 out of 50,Super Area,"Auris Serenity, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,1,3.345355329413434,0.1258688463673195
4,270000,1358,25 out of 50,Carpet Area,"Lodha Kiara, Worli Hill",Mumbai,Semi-Furnished,Family,4,Contact Agent,3,4.969443327543419,3.1916260726445675
2,38000,661,17 out of 36,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,-0.2196292799747144,0.2850160556845366
1,26000,450,9 out of 20,Carpet Area,"Ratan Silicon Park, Jankalyan Nagar",Mumbai,Unfurnished,Family,2,Contact Agent,0,-1.137513708752525,0.5864566046833888
3,70000,1300,6 out of 30,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,3,Contact Agent,1,1.8616275624152137,0.03234028810402039
2,41000,600,4 out of 8,Carpet Area,"Vasant Oscar, Mulund West",Mumbai,Furnished,Family,2,Contact Agent,2,-0.24410699629366803,0.3720882657427478
2,27000,900,Ground out of 4,Super Area,Mahatama Gandhi Road,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner,2,0.5038411431293753,-0.14283610657576487
1,53000,379,21 out of 23,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,1,Contact Agent,0,-1.574363188653818,1.2239212038343534
2,65000,805,8 out of 58,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Family,3,Contact Agent,2,0.7668333780930762,0.6101104018693835
1,85000,650,3 out of 8,Super Area,Malabar Hill,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,0,-0.4353333651202762,1.576045318477043
1,6000,500,8 out of 10,Super Area,Naigaon East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,0,-1.2759306745228942,0.19016896865962646
1,43000,480,5 out of 7,Carpet Area,Seven Bungalows,Mumbai,Furnished,Family,2,Contact Agent,0,-0.9585523918500126,0.8858598394631775
2,65000,550,1 out of 7,Super Area,"Dr Babasaheb Ambedkar Road, Mumbai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,-0.06955051378333588,0.8424691178208612
3,280000,1600,5 out of 12,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,3,4.012635898839972,3.7673047964454187
3,98000,1400,4 out of 15,Carpet Area,"Hubtown Sunmist, Chakala",Mumbai,Semi-Furnished,Family,2,Contact Agent,1,1.5784126750176224,0.6000184705967109
3,330000,1500,20 out of 41,Carpet Area,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,3,3.759065881794389,4.845781890245068
3,65000,1050,3 out of 62,Carpet Area,"Alpine, Kandivali East",Mumbai,Unfurnished,Bachelors,3,Contact Agent,1,1.6050500768430216,0.06883154679611328
3,85000,920,4 out of 13,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,Family,3,Contact Agent,1,1.6758180539262744,0.506433672023086
1,40000,450,8 out of 13,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,0,-1.6317781405988832,0.9464516424898631
1,23000,440,Ground out of 4,Carpet Area,in Kandivali West,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent,0,-1.7938272103296167,0.636719785409272
3,55000,932,3 out of 8,Super Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Owner,1,1.414919026679617,-0.055462621765029606
1,15000,270,15 out of 15,Carpet Area,chakala andheri east,Mumbai,Unfurnished,Bachelors,2,Contact Owner,0,-1.3891076043334356,0.47565786124114606
1,52000,379,23 out of 23,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,0,-0.9626453274025796,1.1047291182045205
2,13000,582,5 out of 8,Carpet Area,Lodha casa rio,Mumbai,Furnished,Family,2,Contact Owner,2,-0.5123046359280121,-0.13726848656698823
2,95000,800,6 out of 8,Carpet Area,"Pali Hill Apartment, Pali Hill",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,0.41289895141362676,1.269060459468463
1,25000,444,7 out of 17,Carpet Area,"Srishti Solitaire, Bhandup Industrial Estate",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,0,-1.1516222620890497,0.5710318873600417
1,21000,428,12 out of 21,Carpet Area,"Godrej Tranquil, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,0,-1.8220443170026657,0.6058703507625779
5,360000,1880,11 out of 27,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,4,Contact Agent,3,6.855033776271678,4.174393159928084
2,60000,888,5 out of 20,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,0.17109206749477582,0.5752988808693592
1,19000,490,Ground out of 8,Super Area,Bhandup East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-1.7876861091401324,0.5368050136029144
3,140000,937,28 out of 39,Carpet Area,"Sheth Beaumonte, Sion Koliwada",Mumbai,Unfurnished,Family,4,Contact Agent,1,2.807864559633011,1.4157672821984872
2,30000,710,12 out of 21,Carpet Area,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent,2,-0.25047330788378236,0.11152449893886794
4,130000,1617,15 out of 58,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,3,4.544326582955472,0.36393907033063844
2,80000,836,6 out of 23,Carpet Area,"TATA Falcon Crest, Parel",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,0.30781780854796675,0.9726193791232016
2,85000,1200,36 out of 45,Carpet Area,"Crescent Bay T3, Bhoiwada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,1.2815478434355287,0.7765861917002891
2,65000,950,9 out of 28,Carpet Area,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,0.2686944296522449,0.6358966718048101
1,33000,460,10 out of 25,Carpet Area,"Conwood Astoria, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,0,-1.0658134308717,0.7109554216281021
1,36000,585,10 out of 14,Super Area,"Odyssey Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,0,-0.9330072484931085,0.7019714442888495
2,22000,550,2 out of 7,Carpet Area,"Salasar Garden, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent,2,-0.4580503187379412,0.045967045236586006
1,17000,375,9 out of 20,Carpet Area,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,0,-1.9030012887478434,0.5591479838053535
2,55000,700,10 out of 20,Carpet Area,"Raj Legacy, Vikhroli West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,-0.03305745184490135,0.5797714104289641
2,66000,750,2 out of 8,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Unfurnished,Family,2,Contact Agent,2,0.10860683711944533,0.7577061988264235
4,140000,2000,6 out of 45,Carpet Area,"DB Woods, Gokuldham",Mumbai,Furnished,Family,4,Contact Agent,3,4.337792167708719,0.45204777502239263
4,260000,2046,22 out of 52,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,3,6.081628578838939,2.5504196437448363
2,32000,750,3 out of 7,Super Area,"Shree Sai Usha Complex, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,-0.19857905517024266,0.1279138623644384
2,45000,730,5 out of 17,Carpet Area,"Raheja Heights, Malad East",Mumbai,Unfurnished,Family,2,Contact Agent,2,-0.09803787293714099,0.37904543684188235
2,50000,750,10 out of 20,Carpet Area,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,-0.03595122984040785,0.46133333460901876
1,18500,229,5 out of 9,Super Area,Vile Parle,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,0,-2.0129083743243443,0.6623318826215938
2,51000,910,10 out of 19,Carpet Area,"Rivali Park, Borivali East",Mumbai,Unfurnished,Bachelors,2,Contact Agent,2,0.10838162671881532,0.39722766021618616
4,140000,1648,21 out of 58,Carpet Area,"Sheth Auris Serinity, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,3,4.660889357921637,0.5331627459002726
3,80000,1100,48 out of 54,Carpet Area,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,3,Contact Agent,1,1.7828538825473315,0.32085955124792387
1,30000,560,2 out of 4,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2,Contact Agent,0,-1.0083568325677772,0.6037423980833259
2,85000,850,4 out of 6,Carpet Area,Andheri West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,0.3648307774931662,1.058005863580579
1,15000,450,2 out of 4,Super Area,Dahisar East,Mumbai,Unfurnished,Family,1,Contact Owner,0,-1.8576501202236537,0.4833690421501683
2,50000,820,7 out of 28,Carpet Area,"Raheja Heights, BMC Colony Malad East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,0.023241635260818804,0.42518315655620986
2,60000,750,10 out of 20,Carpet Area,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,0.05439756200950039,0.6465663747448968
1,23000,410,4 out of 7,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,0,-1.8191955810872853,0.6522127188604758
1,14500,490,12 out of 20,Carpet Area,Ketki Pada,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,0,-1.2075903250363618,0.352781363925524
2,40000,700,11 out of 15,Carpet Area,Collector Colony,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,-0.1685806396197637,0.30192185022514717
1,80000,560,1 out of 7,Carpet Area,Waterfield Road,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,0,-1.1773656137544655,1.6305763803789608
2,55000,650,8 out of 18,Carpet Area,"White Lily Apartment, Bhandup East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,-0.07533806977434886,0.6055929661809705
1,12000,520,2 out of 3,Super Area,in Mira Road,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,0,-1.8255618926773995,0.39164895205659594
2,45000,850,9 out of 12,Carpet Area,"Eco Residency, Andheri East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,0.0034356100935332623,0.31707370303706706
2,90000,777,19 out of 22,Carpet Area,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,0.34827547124112673,1.188321855046447
2,43000,771,15 out of 37,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,-0.08143752460497564,0.3208251530980615
1,22000,400,3 out of 7,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,0,-1.8366865838581656,0.6388537259972893
2,20000,600,7 out of 7,Carpet Area,"Marigold-5, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent,2,-0.4338394591784753,-0.016901118542595968
1,26000,390,Upper Basement out of 7,Carpet Area,"Greenfields CHS, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,0,-1.1882504502678624,0.6174424715857965
1,34999,450,5 out of 12,Carpet Area,"HDIL Premier Residences, Kurla West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,0,-1.0562088309667927,0.7531478175016654
1,35000,500,7 out of 23,Super Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,0,-1.0139191781581602,0.7273447850536725
1,50000,410,6 out of 12,Carpet Area,Dadar East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,0,-1.575253843092533,1.152341927227346
1,16000,160,2 out of 3,Carpet Area,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-2.093842825029459,0.6516573695253932
2,55000,750,10 out of 14,Carpet Area,Chandivali,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,0.009223166084546248,0.5539498546769577
1,39000,585,3 out of 7,Super Area,"Chanchal Kalyan Complex, Yari Road",Mumbai,Unfurnished,Family,2,Contact Agent,0,-0.9059026109381361,0.757541356329613
1,25000,350,2 out of 17,Carpet Area,Ghatla,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,0,-1.8518625642326405,0.7202451937900589
1,25000,490,3 out of 7,Super Area,Kandivali East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,0,-1.112724093593958,0.5472760560681958
2,49500,650,5 out of 16,Carpet Area,Juhu Versova Link Road,Mumbai,Unfurnished,Family,2,Contact Agent,2,-0.12502990529179836,0.5037147941062377
1,21000,225,6 out of 24,Carpet Area,Lower Parel,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-1.9937036257962228,0.7107058671157238
2,110000,850,5 out of 13,Carpet Area,Pali Hill,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,0.5907027571179367,1.5210884639202735
1,21000,385,Ground out of 5,Super Area,in Santacruz East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-1.8584056484219906,0.6280768887093033
2,46700,800,2 out of 7,Carpet Area,"Milap CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2,Contact Agent,2,-0.023485713221429956,0.37438487561217265
4,400000,2500,5 out of 12,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,3,7.10966693510081,5.009891261035156
4,280000,1526,76 out of 78,Carpet Area,"Lodha Marquise, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,3,5.8226077360725,3.1894299038374587
1,18000,300,3 out of 10,Super Area,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-1.957387336457024,0.6164036214469508
3,80000,1800,10 out of 13,Super Area,"Sabari Palm View, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,2.374782533559598,-0.040642229280165504
2,88000,800,5 out of 20,Carpet Area,"Kanakia Paris, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,0.349654797118691,1.1393973313733485
3,90000,890,20 out of 27,Carpet Area,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Family,2,Contact Agent,2,1.0748713386573305,0.7152119071584738
2,38000,700,14 out of 23,Carpet Area,"Sky Villa, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,-0.1866503979897453,0.2648752421979716
1,20000,465,3 out of 4,Super Area,in Borivali East,Mumbai,Semi-Furnished,Bachelors,1,Contact Owner,0,-1.7997915389198653,0.5682390954925054
2,140000,900,8 out of 36,Carpet Area,"Marathon Next Gen Era, Lower Parel",Mumbai,Furnished,Family,2,Contact Agent,2,0.9040297505971091,2.050966028575901
3,78000,1073,8 out of 20,Carpet Area,"Raheja Ridgewood, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,1.7419525904954483,0.2977565833268318
1,21000,450,4 out of 7,Super Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-1.8034408451137087,0.5945088662316951
3,95000,1350,8 out of 16,Carpet Area,"Rajesh Raj Classic, Yari Road",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,1,2.1297801599694317,0.46960133269170884
2,90000,800,5 out of 8,Carpet Area,"Band Stand, Bandra Band Stand",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,0.36772455548867267,1.176443939400524
2,34000,600,4 out of 7,Carpet Area,"Shiv Dham Apartment, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent,2,-0.3073511505886038,0.24242513764763315
2,55000,650,5 out of 15,Carpet Area,Sion Trombay Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,-0.07533806977434886,0.6055929661809705
2,52000,550,3 out of 3,Carpet Area,Dadar East,Mumbai,Furnished,Bachelors,2,Contact Agent,2,-0.18700394318821656,0.6016661656442198
1,74999,840,8 out of 17,Carpet Area,"Celestia Spaces, Balkrishna Dadu Karade Chowk",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,-0.3650248437174687,1.2926718431795272
3,75000,1121,30 out of 45,Carpet Area,"DB Woods, Gokuldham",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,1,1.1346846057165159,0.3180667593803874
2,45000,650,2 out of 12,Carpet Area,"Swastik Pride, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,-0.16568686162425708,0.42035992604509254
1,22000,575,14 out of 14,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-1.688704421105099,0.548478280865267
1,32000,475,3 out of 4,Super Area,Andheri East,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,0,-1.682916865114086,0.7853544325051576
2,34000,830,9 out of 21,Carpet Area,"Indraprastha CHS, Bhayandar East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,-0.11286030811314486,0.12364598118840382
3,170000,1337,28 out of 30,Carpet Area,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,2.7964031381820873,1.8655627382063147
1,23000,420,5 out of 7,Carpet Area,"Spring Leaf, Lokhandwala Twp",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,0,-1.1899867170651663,0.5463796260938293
1,20000,310,Ground out of 7,Carpet Area,Malad West,Mumbai,Unfurnished,Bachelors,1,Contact Agent,0,-1.9308614545011529,0.6482859183237252
3,350000,1800,2 out of 12,Carpet Area,Khar West,Mumbai,Furnished,Family,4,Contact Agent,3,5.434952653943349,4.859981072772294
3,90000,967,14 out of 33,Carpet Area,"Romell Aether, Goregaon East",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,1,1.760736230704909,0.5747779296841388
1,55000,505,4 out of 12,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,0,-1.4497462731016284,1.195897491366473
1,15000,275,3 out of 7,Super Area,Borivali East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-2.00563228297672,0.5737444872821906
2,22000,640,21 out of 21,Carpet Area,Mahajan Wadi,Mumbai,Semi-Furnished,Family,2,Contact Agent,2,-0.3819452064649355,-0.000511755117025481
3,60000,1500,10 out of 23,Carpet Area,Film City,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,1.940401242283096,-0.2561789750398831
2,49000,850,10 out of 23,Carpet Area,"Lakshchandi Height, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,0.039575126833496545,0.3911669190914182
2,34000,900,12 out of 25,Carpet Area,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,-0.0536674430119182,0.08749580313559487
1,24000,430,6 out of 7,Carpet Area,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,0,-1.172495714294286,0.5597386189570157
4,270000,1649,18 out of 29,Carpet Area,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,Family,3,Contact Agent,3,4.594763783456575,3.1420133997841355
3,69000,1100,12 out of 24,Carpet Area,Chandivali,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,1,1.6834702115124325,0.11710320709845809
3,120000,1200,14 out of 35,Carpet Area,Worli,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,2.2288102858058596,1.0101486002874227
2,32000,680,5 out of 20,Carpet Area,"Galassia, Kandarpada",Mumbai,Unfurnished,Family,2,Contact Agent,2,-0.2577719202714693,0.16406404041724737
2,24000,600,5 out of 7,Carpet Area,Charkop,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner,2,-0.397699942438512,0.05719209751175521
4,100000,1560,12 out of 19,Carpet Area,"diamond garden, Chembur",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,1,3.604327562529947,-0.06165469490346302
2,45000,771,20 out of 37,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,-0.06336776623499397,0.3578717611252371
2,80000,800,7 out of 22,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,0.2773757636387644,0.9912108992646462
2,37000,800,5 out of 14,Super Area,"Mayuresh Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,2,-0.11112404131584093,0.194708826680371
3,210000,1425,9 out of 35,Carpet Area,"The Primordial House, Kemps Corner",Mumbai,Furnished,Bachelors,4,Contact Agent,3,3.8529649335737775,2.4603801790100506
4,190000,1750,5 out of 17,Carpet Area,"Godrej The Trees, Pirojshah Nagar",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,3,4.578133037311022,1.507320754461814
1,25000,475,11 out of 15,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2,Contact Agent,0,-1.1254082789727922,0.5550225227937977
4,210000,2000,27 out of 27,Carpet Area,Vikhroli,Mumbai,Unfurnished,Bachelors,5,Contact Agent,3,5.590986451094306,1.6480102743572929
3,200000,1375,15 out of 60,Carpet Area,"Raheja Imperia, Worli",Mumbai,Semi-Furnished,Family,3,Contact Agent,3,3.099582783358192,2.4016374762424237
5,310000,2800,19 out of 33,Carpet Area,"MidCity Shikhar, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,3,7.802005927360202,2.672442551795532
1,26000,650,1 out of 3,Super Area,Srinagarchs chembur west near sankralyammandir,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,0,-1.5891439774709641,0.5838391632916085
2,27000,600,18 out of 20,Carpet Area,"Royal Palms, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent,2,-0.37059530488353953,0.1127620095525186
1,26000,649,3 out of 3,Super Area,"Uttam Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-1.589989589829553,0.5843555944066486
2,60000,950,2 out of 8,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,Furnished,Bachelors,2,Contact Agent,2,0.22352003372729082,0.5432801517368713
1,12000,225,7 out of 7,Carpet Area,Ashok Van,Mumbai,Unfurnished,Family,1,Contact Owner,0,-2.0750175384611405,0.5439961309934337
2,180000,1000,6 out of 10,Carpet Area,Malabar Hill,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,1.349986153855637,2.7402550776153998
1,30000,330,13 out of 40,Carpet Area,Malad East,Mumbai,Furnished,Family,1,Contact Agent,0,-1.8236004154794656,0.8231903361588004
3,100000,1200,8 out of 14,Carpet Area,Khar West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,1,2.0481127021060432,0.639682520015667
3,140000,1270,15 out of 60,Carpet Area,"Lodha Azzuro , Parel",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,1,2.468700734606903,1.34446450250637
3,70000,920,14 out of 21,Carpet Area,"Safal Twins, Chembur",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,1,1.540294866151412,0.22858411181926885
2,20000,630,4 out of 22,Carpet Area,"SK Imperial Heights, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent,2,-0.4084710884208067,-0.032394051993799806
2,22000,670,4 out of 12,Carpet Area,"Prathamesh Heritage, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent,2,-0.356576835707267,-0.016004688568229293
1,32000,450,1 out of 5,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,0,-1.7040571740788097,0.7982652103811608
1,20000,265,6 out of 7,Super Area,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,0,-1.9689140106376557,0.6715253185005309
2,50000,600,9 out of 11,Carpet Area,"K Raheja Maple Leaf, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,-0.1627930836287506,0.5387980018650379
2,29000,670,7 out of 7,Carpet Area,Amar Nagar,Mumbai,Unfurnished,Family,2,Contact Owner,2,-0.29333268141233126,0.11365843952688526
2,45000,650,10 out of 18,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,-0.16568686162425708,0.42035992604509254
1,6500,422,9 out of 15,Carpet Area,Nalasopara West,Mumbai,Semi-Furnished,Family,2,Contact Agent,0,-1.337370998900337,0.23971224763955037
2,55000,955,8 out of 22,Carpet Area,"MJ Shah Centrio, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,0.18257369959528144,0.44808147609373156
3,69999,1100,6 out of 13,Carpet Area,Kurla,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,1,1.6924960558182383,0.13560798780803227
1,18500,300,3 out of 4,Carpet Area,JL Tambe Nagar,Mumbai,Unfurnished,Bachelors,1,Contact Owner,0,-1.9528698968645286,0.6256652734537448
